"wave" "jac"
400 4.38
405 4.38
410 4.38
415 4.38
420 4.38
425 4.38
430 4.38
435 4.38
440 4.38
445 4.38
450 4.38
455 4.38
460 4.38
465 4.38
470 4.38
475 4.38
480 4.38
485 4.38
490 4.38
495 4.38
500 4.38
505 4.38
510 4.38
515 4.38
520 4.38
525 4.38
530 4.38
535 4.38
540 4.38
545 4.38
550 4.38
555 4.38
560 4.38
565 4.38
570 4.38
575 4.38
580 4.38
585 4.38
590 4.38
595 4.38
600 4.38
605 4.38
610 4.38
615 4.38
620 4.38
625 4.38
630 4.38
635 4.38
640 4.38
645 4.38
650 4.38
655 4.38
660 4.38
665 4.38
670 4.38
675 4.38
680 4.38
685 4.38
690 4.38
695 4.38
700 4.38
705 4.38
710 4.38
715 4.38
720 4.38
725 4.38
730 4.38
735 4.38
740 4.38
745 4.38
750 4.38
755 4.38
760 4.38
765 4.38
770 4.38
775 4.38
780 4.38
785 4.38
790 4.38
795 4.38
800 4.51
805 4.37
810 4.36
815 4.3
820 4.22
825 4.3
830 4.2
835 4.08
840 4.22
845 4.16
850 3.85
855 3.95
860 3.98
865 4.01
870 4.02
875 4
880 3.95
885 3.96
890 3.92
895 3.91
900 3.89
905 3.85
910 3.83
915 3.84
920 3.85
925 3.77
930 3.76
935 3.8
940 3.82
945 3.85
950 3.85
955 3.84
960 3.88
965 3.86
970 3.89
975 3.89
980 3.9
985 3.89
990 3.86
995 3.83
1000 3.81
1005 3.79
1010 3.75
1015 3.78
1020 3.73
1025 3.69
1030 3.64
1035 3.58
1040 3.62
1045 3.63
1050 3.55
1055 3.51
1060 3.49
1065 3.44
1070 3.5
1075 3.46
1080 3.39
1085 3.41
1090 3.43
1095 3.49
1100 3.46
1105 3.43
1110 3.36
1115 3.4
1120 3.43
1125 3.44
1130 3.47
1135 3.54
1140 3.53
1145 3.54
1150 3.64
1155 3.71
1160 3.77
1165 3.87
1170 3.91
1175 4.07
1180 4.24
1185 4.36
1190 4.48
1195 4.48
1200 4.47
1205 4.54
1210 4.58
1215 4.57
1220 4.53
1225 4.15
